Kategória;Szolgáltatás;Ár (Ft)
7. Kivehető fogpótlások;Teljes akril fogsor;150.000 – 600.000
7. Kivehető fogpótlások;Rugalmas fogsor (Valplast rendszer);50.000 – 450.000
7. Kivehető fogpótlások;Fémlemezes kivehető fogsor;130.000 – 300.000
7. Kivehető fogpótlások;Ideiglenes akril pótlás kapcsokkal;25.000 – 100.000
7. Kivehető fogpótlások;Fogsor alábélelése;12.000 – 28.000
7. Kivehető fogpótlások;Fogsor javítás;3.000 – 22.000
7. Kivehető fogpótlások;Átlátszó kapocs (foganként);3.000
8. Szájsebészeti beavatkozások;Egyszerű fogeltávolítás;15.000 – 30.000
8. Szájsebészeti beavatkozások;Bölcsességfog eltávolítása (nem műtéti úton);20.000 – 30.000
8. Szájsebészeti beavatkozások;Sebészi foghúzás (lebenyes);40.000 – 60.000
8. Szájsebészeti beavatkozások;Arcüregzárás, ciszták eltávolítása;30.000 – 50.000
8. Szájsebészeti beavatkozások;Tályog megnyitása (incisio), szövetszaporulat eltávolítása;30.000
8. Szájsebészeti beavatkozások;Gyökércsúcs rezekció;45.000
8. Szájsebészeti beavatkozások;Varratszedés;5.000
8. Szájsebészeti beavatkozások;Pericoronitis kezelése (gyulladáscsökkentés);15.000
8. Szájsebészeti beavatkozások;Gyulladt seb utókezelése;15.000
